m_number,no_of_grounds,description,colour_code,1,2,3,layer1_colour,layer1_composition,layer2_colour,layer2_composition,layer3_colour,layer3_composition,toplayer_colour,reliability,sample,microscopy,elem_analysis,sample_location,sample_name_1,sample_link_1,sample_name_2,sample_link_2,researchers,source,dttg_new_research,notes
M024,2,"1. Red ground
2. Grey layer",R-G,,,,R,Red earth,G,"Lead white, charcoal black, umber",,,G,1,YES,YES,YES,Hamilton Kerr institute,HKI1362,,,,"Karin Groen, Ella Hendriks, Paul van Laar","Groen, Karin, and Ella Hendriks. “Frans Hals: A Technical Examination.” In Frans Hals, 109–27. Munich: Prestel-Verlag, 1989.",UNCLEAR,2024 sample photography by Paul van Laar
M025,1,1. Grey ground,G,,,,G,"Lead white, a little red ochre, umber, coarse charcoal black",,,,,G,2,YES,,,,,,,,Karin Groen and Ella Hendriks,"Groen, Karin, and Ella Hendriks. “Frans Hals: A Technical Examination.” In Frans Hals, 109–27. Munich: Prestel-Verlag, 1989.",,
M026,1,1. White ground,W,,,,W,"Lead white, a little red ochre, umber, coarse charcoal black",,,,,W,2,YES,,,,,,,,Karin Groen and Ella Hendriks,"Groen, Karin, and Ella Hendriks. “Frans Hals: A Technical Examination.” In Frans Hals, 109–27. Munich: Prestel-Verlag, 1989.",,
M027,1,1. Grey ground applied in 1 layer,G,,,,G,"Lead white, charcoal black, brown ochre",,,,,G,1,YES,YES,YES,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M028,2,"1. Light brown layer
2. Brown layer",LBr-Br,,,,LBr,"Silicoaluminates, calcium carbonate, quartz, bone brown, iron and sulphur-based particles, earths, traces of lead",Br,"Silicoaluminates, calcium carbonate, quartz, bone brown, iron and sulphur-based particles, earths, traces of lead",,,Br,1,YES,YES,YES,,,,,,"Marco Cardinali, M. Beatrice De Ruggieri",Emmebi/Max-Planck Hertziana database,,
M029,1,1. Grey ground applied in 1 layer,G,,,,G,"Lead white, charcoal black, little yellow ochre",,,,,G,1,YES,YES,YES,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M030,1,1. Grey ground applied in 1 layer,G,,,,G,"Lead white, charcoal black, very little yellow ochre",,,,,G,1,YES,YES,YES,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M031,1,1. Pinkish ground applied in two layers,P,,,,P,"Lead white, umber, a little bright red ochre, black, possibly chalk in the top layer",,,,,P,1,YES,YES,YES,Frans Hals Museum,A205/1-4,https://rkd.nl/explore/technical/5006023,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M032,1,1. Single reddish orange-brown ground,DO,,,,DO,"Aluminosilicates, quartz, magnesium, calcium carbonate (chalk), yellow and red iron oxides, carbon black, lead white",,,,,DO,1,YES,YES,YES,National Gallery London,"IS1, IS3",,,,Marika Spring,"National Gallery, London science department documentation",,Report by Marika Spring with SEM-EDX data and cross-section images. CHARISMA Ashok Roy article p 87
M033,2,"1. Red layer
2. Dark grey layer",R-DG,,,,R,"Red/yellow ocher, calcium carbonate, lead white, small amounts of vegetable black",DG,"Calcium carbonate, lead white, natural umber, plant black and bone black",,,DG,1,YES,YES,YES,Published in Mateusz Jasinski's dissertation,,,,,Mateusz Jasinski,Email correspondence with researcher,,
M034,1,1. Yellowish ground,Y,,,,Y,Yellow ochre,,,,,Y,3,,,,,,,,,KHM,"Prohaska, Wolfgang. Caravaggio Und Der Internationale Caravaggismus. Sammlungkataloge Des Kunsthistorischen Museums 6. Vienna: Kunsthistorisches Museum, 2010.",,
M035,2,"1. Grey ground applied in 2 layers, the 2nd one lighter, 1st layer dry when 2nd applied",G-G,,,,G,"Lead white, chalk (?), fine (lamp) black and a little yellow earth. More chalk and black than second layer. ",G,"Lead white, chalk (?), fine (lamp) black and a little yellow earth.",,,G,1,YES,YES,YES,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M036,2,"
1. Orange-red layer of red iron oxide with chalk
2. Light brown layer with some black",LR-LBr,,,,LR,Red iron oxide with chalk,LBr,Brown and black pigments,,,LBr,2,YES,YES,,Rijksmuseum (PSD),SK-A-4188-01,https://psa.rijksmuseum.nl/art-object-SK-A-4188/sample-set-392,,,"Karin Groen, Moorea Hall-Aquitania","Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",UNCLEAR,
M037,2,"1. Reddish-orange layer
2. Light grey layer",O-LG,,,,O,"Red earth, aluminosilicates, bone black, lead soap, lead white, red lead, chalk",LG,"Lead white, bone black, lead soap, chalk, red lead, yellow earth",,,LG,1,,,,,"117a, 117b, 117g",,,,David Buti,SMK Kress/National Gallery spreadsheet (unpublished),,"Sent with image showing where samples were taken, there are more but the three she sent show the ground best. Two have the typical orange layer with large translucent particles followed by a very pale whitish layer with bits of black, but one has a slightly darker brown/grey second layer"
M038,1,Cool light brown ground,LBr,,,,LBr,,,,,,LBr,3,,,,,,,,,Moorea Hall-Aquitania,Visual examination by Moorea Hall-Aquitania,,"Visible around hand, hair, and possibly left exposed or lightly covered in the bodice. Photos on computer. Red lead and lead soaps ""probably alteration product"""
M039,1,Bright reddish orange ground,LR,,,,LR,,,,,,LR,3,,,,,,,,,Moorea Hall-Aquitania,Visual examination by Moorea Hall-Aquitania,,"Used throughout, visible around fingers, and shadowy areas of clothing especially. Photos on computer."
M040,2,"1. Chalk/glue ground
2. Toned lead white and chalk layer",LY-W,,,,LY,Calcium carbonate (chalk),W,"Lead white, chalk, slightly toned",,,W,1,,,,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,"Says yellowish, but based on the pigments I will classify this as light grey for now, which may change based on cross section re-examination"
M041,1,1. Yellowish ground,LG,,,,LG,"Lead white, a little umber, very little fine black",,,,,LG,2,,,,,,,,,Karin Groen and Ella Hendriks,"Groen, Karin, and Ella Hendriks. “Frans Hals: A Technical Examination.” In Frans Hals, 109–27. Munich: Prestel-Verlag, 1989.",,Drawings and descriptions of layers from VADB but no images of the cross sections
M042,2,"1. Orange layer with fine particles
2. Light brown layer with white particles",O-LBr,,,,O,"Aluminum, silicon, lead, potassium, iron, calcium",LBr,"Lead, calcium, aluminum, silicon, iron, magnesium, manganese, potassium",,,LBr,1,,,,"RKD, JRJ van Asperen de Boer archive",A288/1-7,https://rkd.nl/explore/technical/5005858,,,"JRJ van Asperen de Boer, Christine Reigersman, Moorea Hall-Aquitania",Centraal Museum documentation,,
M043,1,1. Light brown ground,LBr,,,,LBr,,,,,,LBr,3,,,,,,,,,Marcia Steele,Email correspondence with researcher,,"RKD mentions a dating of 1601, arguing the 1621 was read erroneously. From Steele at Cleveland Museum of Art: ""A thin, light brown ground extends to all edges of the painting including the tacking margins. Close examination under magnification shows the ground to have been applied using a stiff brush with uniform horizontal brush strokes giving the painted surface some texture. The paint estimated to be oil (no solubility tests were made at this time) is applied as a thin to moderately thick fluid paste. The painting is not lined, only strip lined."""
M044,2,"1. Grey ground; two layers, the top one is lighter and contains more lead white",G-G,,,,G,"Lead white, a little brown earth, very fine black and orange ochre",G,"Lead white, charcoal (?) black, brown earth, bright orange/red ochre, very little blue and light yellow pigment",,,G,1,,,,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M045,1,1. Dark brown ground,DBr,,,,DBr,,,,,,DBr,3,,,,,,,,,Marcia Steele,Email correspondence with researcher,,"From Steele at Cleveland Museum of Art: ""A thick dark brown ground layer is applied directly to the canvas filling the weave structure. The ground is a moderately thick dark brown layer which fills the fabric texture. The oil-type paint was applied as a transparent fluid paste."""
M046,2,"1. Red layer
2. Warm brownish-grey layer",R-G,,,,R,,G,,,,G,3,,,,,,,,,Kim Muir,Email correspondence with researcher,,"Gerrit van Honthorst, A Boy Blowing on a Firebrand (1620–22): The plain-weave canvas was primed with a double ground layer. The lower layer is red and the upper layer is warm, brownish-gray (see MIC1). Based on the appearance in the X-ray, one or both of the ground layers was applied with a knife in broad arcing strokes generally oriented from upper right to lower left. Numerous scratches in the ground are visible in the X-ray and may be related to the application tool or to coarse particles from the ground that were dragged across the surface in the process of applying or smoothing the ground. Some of these scratches are visible microscopically in the upper ground layer and appear dark in the X-ray. Others appear more radio-opaque and may be scratches in the lower ground layer that were filled in when the second layer, which presumably contains lead white, was applied. Variations in the density of the ground around the edges seem to indicate the use of a different application technique or tool compared to the broad knife strokes that cover most of the canvas. This difference at the edges probably indicates that the canvas was prepared to size rather than cut from a larger piece of primed fabric. An intermittent shallow furrow or recess in the ground at approximately 2–2.5 cm from the edges of the canvas is visible on the surface of the painting in raking light and appears more radio-transparent in the X-ray. This also seems to be related to the ground application, possibly where the application tool came into contact with the inner edge of the strainer or priming frame; however, because the edges of the original canvas have been cut, there is no evidence of the original attachment."
M047,2,"1. Deep red color, small red and black particles
2. Brick-red layer, larger particles of lead white",DR-R,,,,DR,"Red ochres, quartz, clays",R,"Red ochre, chalk, lead white",,,R,1,,,,Rijksmuseum (PSD),R60/1-6,https://psa.rijksmuseum.nl/art-object-SK-A-3908/sample-set-121,,,"Arie Wallert, Moorea Hall-Aquitania","Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,"Moorea Hall-Aquitania; Info from Rijksmuseum 1570-1600 catalogue
PSD: https://psa.rijksmuseum.nl/art-object-SK-A-3908/sample-set-121/sample-619"
M048,2,"""red ground layer visible, with a light-coloured (gray?) layer on top""",R-LG,,,,R,,LG,,,,LG,3,,,,,,,,,Silvia Castro,Email correspondence with researcher,,"Canvas is unlined- remarkable for a painting from this period. In excellent condition, which may be because of the composition of the ground. Large and small particles of red clay and micaceous/illitic material in a binding emulsion of heat-bodied linseed oil, pine resin, egg protein, and a carbohydrate (possibly molasses or honey) "
M049,2,"1. Red ground in two applications
2. Thin grey priming",R-G,,,,R,"Iron and aluminium silicates (clay material), iron oxide red, lead-containing fluorescent lumps (lead soaps?), red lead",G,"Lead white, iron, manganese (umber)",,,G,1,,,,,,,,,,"Plahter, Leif Einar, and Unn Simonsen Plahter. “The Young Christ among the Doctors by Teodoer van Baburen. Technique and Condition of a Dutch Seventeenth Century Painting on Canvas.” In Conservare Necesse Est, 42–67. Oslo: IIC Nordic Group, 1999.

Sent by Cynthia Osiecki",,Drawings and descriptions of layers from VADB but no images of the cross sections. REVISED: now have cross-sections but they don't show lower orange layer well
M050,2,"1. Orange layer with brown, black, and (organic) red particles
2. Grey-brown layer with lots of lead white and some black particles",O-G,,,,O,,G,,,,G,2,,,,,A286/1-4,https://rkd.nl/explore/technical/5005856,,,"JRJ van Asperen de Boer, E.A.M. Schorer, Moorea Hall-Aquitania",Centraal Museum documentation,YES,"Google translate from cross-section report: ""orange layer, primer, high pigment concentration
- two-layered structure: coarse grain sizes are increasingly on top, below homogeneous appearing layer with a high orange content
- orange / red in very fine to medium grain size
- white, slightly transparent in different grain size (vmtl. lead white)
- yellow / ocher in small grain size, in places larger accumulation
- black in different grain size
- dark red in small to very large grain size
- elongated binder inclusions, binder compaction at the upper edge (fluorescence) gray layer, primer, high pigment concentration
- very fine gray pigments
- white, slightly transparent larger pigments (mostly lead white)
- black in different grain size
- Binder inclusions""

Double ground on top and bottom parts of the canvas is red-orange covered by grey, but the composition and tone of these grounds is slightly different between canvas strips"
M051,2,"1. Orange-red ground applied in two layers
2. Grey layer",LR-G,,,,LR,,G,,,,G,2,,,,Wallraf-Richartz Museum,,,,,Caroline von Saint-George,Email correspondence with researcher,YES,Need to perform SEM!
M052,2,"1. Orange-red lower layer
2. Grey layer",LR-G,,,,LR,,G,,,,G,2,,,,Rijksmuseum (PSD),Sample set Conservation 2001,https://psa.rijksmuseum.nl/art-object-SK-A-4837/sample-set-312,,,,Rijksmuseum Paint Sample Database,,
M053,1,1. Light brown ground,LBr,,,,LBr,"Lead white, a little chalk, umber, finely ground bone black",,,,,LBr,2,,,,,,,,,Karin Groen and Ella Hendriks,"Groen, Karin, and Ella Hendriks. “Frans Hals: A Technical Examination.” In Frans Hals, 109–27. Munich: Prestel-Verlag, 1989.",,"""Cross-sections show that the canvas was prepared with a warm red ground of unknown medium.  However, the small interval and aperture craquelure pattern is similar to that found in canvas paintings with a glue-based ground. 
The cross-sections show that there may be another preparatory layer added after the application of the red ground.  It is difficult to determine the color, as it is not highly pigmented.  This may have been added to seal an aqueous ground, or it may be a toning layer."""
M054,1,1. Warm red ground,R,,,,R,,,,,,R,2,,,,,,,,,Noelle Ocon,Email correspondence with researcher,,"""The canvas was prepared with a double ground consisting of an initial layer of an earthy red followed by a layer of a medium grayish brown ground.  The ground is visible through thinly painted areas, abrasions and losses in the paint film. Whether the two layers are continuous throughout the whole composition is presently unclear, but could be confirmed with extensive samples.  The additional presence of a medium gray layer, or a dead coloring, is visible through thin areas and losses under the area of the yellow costume of David.""  "
M055,2,"1. Reddish-brown layer
2. Greyish brown layer",R-G,,,,R,,G,,,,G,3,,,,,,,,,Noelle Ocon,Email correspondence with researcher,YES,Surface examination with stereo microscope
M056,2,"""The dark grey ground layer is visible in the cracks and abraded areas""",R-DG,,,,R,,DG,,,,DG,3,,,,,,,,,Moorea Hall-Aquitania,"
Visual examination by Moorea Hall-Aquitania",YES,SEM-EDX performed by Moorea Hall-Aquitania. JEOL. 
M057,2,"1. Orange-red ground 
2. Greyish-brown layer",LR-Br,,,,LR,"Red earth, aluminosilicates, quartz, chalk, lead white, bone black",Br,"Carbon black, lead white, brown earth",,,Br,1,,,,,,,,,Moorea Hall-Aquitania,"Moorea Hall-Aquitania, Erma Hermens sampling and examination
",YES,
M058,1,1. Grey/brown  ground,LBr,,,,LBr,"lead white, iron, calcium and trace amounts of manganese, phosphorous, silicon, and copper",,,,,LBr,3,,,,,,,,,Gwendolyn Boevé-Jones,Email correspondence with researcher,YES,"Looks very similar to the grounds in the Rijks UC paintings. Not sampled, so there may be a red first ground. Grey-brown ground visible from the surface- see photos from Boevé-Jones. From Steele at Cleveland Museum of Art: ""A thin light brown priming layer appears to be applied over the canvas support. Analysis with XRF in an area where the ground layer is more visible (see XRF locations 1) indicates the presence of lead white, iron, calcium and trace amounts of manganese, phosphorous, silicon, and copper. The same area in the X-ray reveals only a light amount of X-ray blocking lead white, suggesting that the ground layer is either quite thin and/or only contains a relatively small amount of lead white. A thin, toned underlayer or imprimatura appears to be applied directly over the ground."""
M059,2,"1. Reddish orange layer
2. Light brown layer",O-LBr,,,,O,"Red earth, aluminosilicates, bone black, carbon black, vermilion, lead white",LBr,"Lead white, umber, quartz",,,LBr,1,,,,Statens Museum for Kunst,"115a, 115b",,,,David Buti,SMK Kress/National Gallery spreadsheet (unpublished),,"3rd layer does not show up in another sample taken from ""butt surface, lower left edge, for ground"". Image shared by Anne Haack Christensen"
M060,2,"1. Mid-brown layer
2. Greyish fawn layer",Br-LBr,,,,Br,"Brown earth, aluminosilicates, lead white, vermilion, bone brown",LBr,"Lead white, brown earth",,,LBr,1,YES,YES,YES,National Gallery London,"IS1, IS2",,,,"Marika Spring, Ashok Roy","National Gallery, London science department documentation",,"Cross-section on p 89 of CHARISMA article, no description of pigments. From Marika's inorganic report: ""Notes on SEM-EDX analysis (see also separate report): only spot spectra were collected – it
would be of interest to do further SEM-EDX mapping of the sample. The small bright red
particle in the ground at the right was confirmed to be vermilion (Hg, S). The rounded
translucent brown particle in the ‘hump’ in the ground between the two sections of upper paint
layers contains calcium and phosphorus so appears to a rather brown form of bone black (bone
brown?). A small amount of lead white was also confirmed. A translucent colourless particle at
the bottom left seems to be quartz (Si only). A spectrum collected over an area in the upper
part of the ground layer detected Al, Si (both strong) and smaller Fe, K with a little Ca, Mg and
Mn. Further investigation is needed to fully characterise the earths."""
M061,2,"1. Whitish ground
2. Grey imprimatura",W-G,,,,W,"Lead white, chalk, very little azurite",G,"Lead white, black ",,,G,1,,,,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,"Joyce Plesters: ""The previous investigation showed that there is in fact a double ground of the type often found in canvas paintings by Rembrandt. This consists of a lower layer of ground, directly on the canvasm of red ochre and red lead in a medium with the characteristics of drying oil, with, above it, a thinner layer of a mixture of coarsely-ground lead white and charcoal black. This type of double ground had previously, and has since, only been noted on pictures by Rembrandt or by his immediate followers. No. 6347 dates however from 1624 before Rembrandt had reached maturity or achieved the fame he was to have in Amsterdam in the early 1630's. The double priming is decribed by Felibien (the biographer of Rembrandt) in his 'Des princupes de l'Architecture, Sculpture, Peinture...' of 1776, though merely giving instructions as to how this type of preparation may be made, and not with any particular reference to techniques of any artist or school in particular."""
